시도,시군구,읍면동,상세주소,특수지명,블록,로트,건물명,동명,통계용도,대지면적(㎡),건축면적(㎡),연면적(㎡),지하층수(층),지상층수(층),허가일자,착공일자,사용승인일자,동용도
부산광역시,기장군,일광면 동백리,233-2,,,,,,주거용 > 단독주택 > 단독주택,0,25.12,25.12,0,1,,,1965-07-26,단독주택
부산광역시,기장군,기장읍 동부리,324,,,,,,주거용 > 단독주택 > 단독주택,0,69.42,69.42,0,1,,,1973,단독주택
부산광역시,기장군,일광면 동백리,233-4,,,,,,주거용 > 단독주택 > 단독주택,0,5.28,5.28,0,1,,,1960,단독주택
부산광역시,기장군,일광면 동백리,233-6,,,,,,주거용 > 단독주택 > 단독주택,241.76,141.98,208.16,0,2,1994-06-16,,1994-07-16,단독주택
부산광역시,기장군,일광면 동백리,233-10,,,,,,주거용 > 단독주택 > 단독주택,181,106.68,176.88,0,2,,,1988-06-10,단독주택
부산광역시,기장군,일광면 동백리,233-11,,,,,,주거용 > 단독주택 > 단독주택,0,84.46,84.46,0,1,,,1970-09-01,단독주택
부산광역시,기장군,일광면 동백리,234-2,,,,,,주거용 > 단독주택 > 단독주택,0,105.15,105.15,0,1,,,1980-10-14,단독주택
부산광역시,기장군,기장읍 동부리,324-2,,,,,,주거용 > 단독주택 > 단독주택,0,129.51,129.51,0,1,1974-10-28,,1975,단독주택
부산광역시,기장군,일광면 동백리,234-9,,,,,,주거용 > 단독주택 > 단독주택,0,97.64,130.96,0,2,,,1980-12-31,단독주택
부산광역시,기장군,일광면 동백리,234-10,,,,,,주거용 > 단독주택 > 단독주택,0,106.81,130.44,0,2,,,1980-12-31,단독주택
부산광역시,기장군,일광면 동백리,234-12,,,,,,주거용 > 단독주택 > 단독주택,0,103.18,103.18,0,1,,,1980-12-31,단독주택
부산광역시,기장군,일광면 동백리,234-14,,,,,,주거용 > 단독주택 > 단독주택,0,107.06,127.55,0,2,,,1980-12-31,단독주택
부산광역시,기장군,일광면 동백리,234-15,,,,,,주거용 > 단독주택 > 단독주택,0,127.5,199.5,0,2,1994-06-16,,1994-09-23,단독주택
부산광역시,기장군,일광면 동백리,240,,,,,,주거용 > 단독주택 > 단독주택,139.8,82.12,79.11,0,1,2001-03-09,2001-03-21,2001-05-30,단독주택
부산광역시,기장군,일광면 동백리,240-1,,,,,,주거용 > 단독주택 > 단독주택,0,24.99,24.99,0,1,,,1963-03-03,단독주택
부산광역시,기장군,기장읍 동부리,325-2,,,,,,주거용 > 단독주택 > 단독주택,0,58.5,58.5,0,1,1982-06-02,,1982-08-12,단독주택
부산광역시,기장군,일광면 동백리,278-1,,,,,,주거용 > 단독주택 > 단독주택,0,65.82,65.82,0,1,,,1970-11-20,단독주택
부산광역시,기장군,일광면 동백리,278-4,,,,,,주거용 > 단독주택 > 단독주택,0,59.11,59.11,0,1,,,1975-01-31,단독주택
부산광역시,기장군,일광면 동백리,285-1,,,,,,주거용 > 단독주택 > 단독주택,100,42.77,81.77,0,2,1993-06-22,1994-02-05,1994-04-12,단독주택
부산광역시,기장군,일광면 동백리,285-4,,,,,,주거용 > 단독주택 > 단독주택,0,39.67,39.67,0,1,,,1970,단독주택
부산광역시,기장군,일광면 동백리,285-5,,,,,,주거용 > 단독주택 > 단독주택,192.17,92.32,89.12,0,1,,,1997-07-25,단독주택
