소방서이름,상세주소,주소,y,x,위도,경도
명호119안전센터,경상북도 봉화군 명호면 도천길 18-46,경상북도 봉화군 명호면 도천길 18-46,128.901775840,36.858168559,36.8578256,128.9002532
동부119안전센터,경상북도 영천시 호국로 187,경상북도 영천시 호국로 187,128.957887064,35.977922471,35.9901865,128.9985253
남부119안전센터,경상북도 영천시 한방로 176-0,경상북도 영천시 한방로 176-0,128.947113325,35.938915392,35.9431999,128.9300562
금호119안전센터,경상북도 영천시 금호읍 오계공단길 5,경상북도 영천시 금호읍 오계공단길 5,128.887563636,35.913794855,35.9137904542333,128.887565907491
신녕119안전센터,경상북도 영천시 신녕면 어릿골길 11,경상북도 영천시 신녕면 어릿골길 11,128.778888169,36.043914857,36.0446217,128.774413
서성119안전센터,경상북도 상주시 상산로 322,경상북도 상주시 상산로 322,128.159540341,36.419621645,36.3981763,128.1581772
함창119안전센터,경상북도 상주시 함창읍 가야로 46-1,경상북도 상주시 함창읍 가야로 46-1,128.178407196,36.566474974,36.5667688,128.1785561
청리119안전센터,경상북도 상주시 청리면 마공공단로 152,경상북도 상주시 청리면 마공공단로 152,128.126084028,36.318529380,36.3215098,128.1266267
화서119안전센터,경상북도 상주시 화서면 상현무동길 5,경상북도 상주시 화서면 상현무동길 5,127.948059504,36.446382732,36.4481405,127.9450285
점촌119안전센터,경상북도 문경시 중앙로 305,경상북도 문경시 중앙로 305,128.209715672,36.610347304,36.601023,128.2027179
모전119안전센터,경상북도 문경시 모전로 173,경상북도 문경시 모전로 173,128.187944975,36.596291526,36.5999814,128.1865896
가은119안전센터,경상북도 문경시 가은읍 가은로 126,경상북도 문경시 가은읍 가은로 126,128.062726814,36.642264855,36.64067,128.05875
문경119안전센터,경상북도 문경시 문경읍 새재로 501,경상북도 문경시 문경읍 새재로 501,128.102530632,36.734813976,36.7567366,128.0781913
압량119안전센터,경상북도 경산시 압량읍 김유신로 12,경상북도 경산시 압량읍 김유신로 12,128.769801260,35.838460034,35.83834935,128.7695123
중앙119안전센터,경상북도 경산시 장산로 143,경상북도 경산시 장산로 143,128.740771512,35.818720419,35.8184513,128.7411369
중산119안전센터,경상북도 경산시 펜타힐즈4로 1,경상북도 경산시 펜타힐즈4로 1,128.719579702,35.830858397,35.8306433,128.7200198
하양119안전센터,경상북도 경산시 하양읍 대경로 793,경상북도 경산시 하양읍 대경로 793,128.825779607,35.915119585,35.8997332,128.7954106
진량119안전센터,경상북도 경산시 진량읍 공단2로 72,경상북도 경산시 진량읍 공단2로 72,128.823781262,35.872556652,35.8712631,128.8268581
자인119안전센터,경상북도 경산시 자인면 금학로 25-11,경상북도 경산시 자인면 금학로 25-11,128.826166691,35.821467133,35.8204817,128.8238024
봉양119안전센터,경상북도 의성군 봉양면 대로 4741,경상북도 의성군 봉양면 대로 4741,128.598975843,36.310097651,37.1315671640659,128.128630418582
의성119안전센터,경상북도 의성군 의성읍 홍술로 187,경상북도 의성군 의성읍 홍술로 187,128.699142802,36.358263413,36.3562737,128.6935168
안계119안전센터,경상북도 의성군 안계면 안계길 100,경상북도 의성군 안계면 안계길 100,128.441319635,36.382691091,36.38425,128.4375462
군위119안전센터,경상북도 군위군 군위읍 군위공단길 65,경상북도 군위군 군위읍 군위공단길 65,128.560416803,36.207588155,36.2075740673905,128.560419266803
의흥119안전센터,경상북도 군위군 의흥면 읍내길 23,경상북도 군위군 의흥면 읍내길 23,128.713966415,36.176713533,36.1749887,128.7157953
영덕119안전센터,경상북도 영덕군 영덕읍 경동로 8401,경상북도 영덕군 영덕읍 경동로 8401,129.371009752,36.416708294,36.4157398,129.372212
강구119안전센터,경상북도 영덕군 강구면 강산로 38,경상북도 영덕군 강구면 강산로 38,129.374728964,36.351361293,36.37763,129.33342
영해119안전센터,경상북도 영덕군 영해면 창수영해로 481,경상북도 영덕군 영해면 창수영해로 481,129.395747905,36.542392954,36.5423758,129.3812255
청도119안전센터,경상북도 청도군 청도읍 중앙로 192-34,경상북도 청도군 청도읍 중앙로 192-34,128.763125342,35.648211182,35.6433542,128.7461794
풍각119안전센터,경상북도 청도군 풍각면 송서로 64,경상북도 청도군 풍각면 송서로 64,128.617756476,35.638874083,35.63934,128.61948
금천119안전센터,경상북도 청도군 금천면 청려로 4363,경상북도 청도군 금천면 청려로 4363,128.895211576,35.689999376,35.6945122,128.8881907
대가야119안전센터,경상북도 고령군 대가야읍 벽화길18,경상북도 고령군 대가야읍 벽화길18,128.268492194,35.723926380,35.7240226227442,128.268697701522
다산119안전센터,경상북도 고령군 다산면 다산로 506,경상북도 고령군 다산면 다산로 506,128.434972240,35.815255156,35.8146633,128.4312497
성주119안전센터,경상북도 성주군 성주읍 주산로 193,경상북도 성주군 성주읍 주산로 193,128.304874212,35.933995902,35.9317817,128.2998771
선남119안전센터,경상북도 성주군 선남면 도성3길 39-17,경상북도 성주군 선남면 도성3길 39-17,128.366732852,35.882379427,35.8823773018661,128.366731832857
왜관119안전센터,경상북도 칠곡군 기산면 칠곡대로 1216,경상북도 칠곡군 기산면 칠곡대로 1216,128.388057816,35.995657244,35.9927198,128.3872542
북삼119안전센터,경상북도 칠곡군 북삼읍 안산2길 46,경상북도 칠곡군 북삼읍 안산2길 46,128.337384988,36.066825493,36.0663159,128.3366236
석적119안전센터,경상북도 칠곡군 석적읍 유학로 140,경상북도 칠곡군 석적읍 유학로 140,128.423799309,36.073548179,36.0791924,128.4123174
금산119안전센터,경상북도 칠곡군 왜관읍 공단로 194,경상북도 칠곡군 왜관읍 공단로 194,128.417075874,35.967777248,35.9771037,128.4263727
가산119안전센터,경상북도 칠곡군 가산면 다부원1길 57,경상북도 칠곡군 가산면 다부원1길 57,128.520496312,36.045855135,36.0458615506672,128.520497260269
동명119안전센터,경상북도 칠곡군 동명면 한티로 216,경상북도 칠곡군 동명면 한티로 216,128.577257389,35.980264565,35.9839718,128.5834491
예천119안전센터,경상북도 예천군 예천읍 양궁로 61-12,경상북도 예천군 예천읍 양궁로 61-12,128.463412218,36.648149768,36.6477714,128.4616763
지보119안전센터,경상북도 예천군 지보면 지보로 247,경상북도 예천군 지보면 지보로 247,128.382809354,36.538543190,36.54403,128.38695
도청119안전센터,경상북도 예천군 호명면 도청대로 19,경상북도 예천군 호명면 도청대로 19,128.467944738,36.575843557,36.5730862,128.4940079
울진119안전센터,경상북도 울진군 울진읍 울진북로 508,경상북도 울진군 울진읍 울진북로 508,129.394605940,36.993424602,37.0130046,129.4020831
죽변119안전센터,경상북도 울진군 죽변면 하죽로 1841,경상북도 울진군 죽변면 하죽로 1841,129.412523714,37.054826796,37.05396,129.38071
북면119안전센터,경상북도 울진군 북면 장터길 69,경상북도 울진군 북면 장터길 69,129.375216894,37.102732943,37.1019012,129.3749156
후포119안전센터,경상북도 울진군 후포면 실배길 28-1,경상북도 울진군 후포면 실배길 28-1,129.445225535,36.689139454,36.6891566680962,129.445222735434
온정119안전센터,경상북도 울진군 온정면 백암온천로 1315,경상북도 울진군 온정면 백암온천로 1315,129.347544518,36.721141830,36.72329,129.41392
상대119안전센터,경상남도 진주시 동진로 249,경상남도 진주시 동진로 249,128.118291772,35.180616580,35.1793886,128.1528881
중앙119안전센터,경상남도 양산시 북장대로64번길 14,경상남도 양산시 북장대로64번길 14,,,35.4018747,129.0410269
천전119안전센터,경상남도 진주시 강남로 167번길 16,경상남도 진주시 강남로 167번길 16,128.094087158,35.182852886,35.1828547887809,128.094085495375
평거119안전센터,경상남도 진주시 순환로 565,경상남도 진주시 순환로 565,128.058799236,35.174111950,35.1441007,128.0947596
문산119안전센터,경상남도 진주시 문산읍 월아산로 979,경상남도 진주시 문산읍 월아산로 979,128.163599208,35.158778483,35.1792036,128.1553801
금산119안전센터,경상남도 진주시 금산면 중천리 585-2,경상남도 진주시 금산면 중천리 585-2,,,35.2116679298119,128.13394150944
죽림119안전센터,경상남도 통영시 광도면 죽림4로 49,경상남도 통영시 광도면 죽림4로 49,128.419565556,34.883838136,34.8835287072292,128.419017468271
무전119안전센터,경상남도 통영시 원문로 71,경상남도 통영시 원문로 71,128.420911837,34.859358561,34.85925515,128.4208257
